Titre,Prix,Localisation,Date,Chambres
NOUVELLE RESIDENCE FANN RESIDENCE,3 000 000 F Cfa,"Fann,
Dakar","2. mai, 13:08",4 chambre
Appartement F4 haut standing dans la cité Mbackiyoufaye,800 000 F Cfa,"Mamelles,
Dakar","lundi, 11:34",3 chambre
Appartement F4 à louer à la cité Mbackiyoufaye,621 600 F Cfa,"Mamelles,
Dakar","jeudi, 14:51",3 chambre
Studio à louer à liberté 06,500 000 F Cfa,"Liberte 6,
Dakar","jeudi, 14:11",1 chambre
Appartement F4 aux Almadies 2 de Rufisque,250 000 F Cfa,"Rufisque,
Dakar","jeudi, 15:10",3 chambre
BEL F4 A LOUER AUX ALMADIES,2 000 000 F Cfa,"Almadies,
Dakar","jeudi, 13:34",
APPARTEMENT F5 à CITE CHEIKH AMAR,1 500 000 F Cfa,"Mamelles,
Dakar","jeudi, 13:33",
F4 A LOUER AUX ALMADIES SUR LA ROUTE DU KING FAHD,1 800 000 F Cfa,"Almadies,
Dakar","jeudi, 13:32",
F4 A LOUER A YOFF VIRAGE AU 9EME ETAGE,1 700 000 F Cfa,"Virage,
Dakar","jeudi, 13:32",
Studio à louer Sicap baobab,200 000 F Cfa,"Ouest foire,
Dakar","jeudi, 11:33",1 chambre
Appartement à louer à ouakam,375 000 F Cfa,"Ouakam,
Dakar","jeudi, 11:31",3 chambre
Bel appartement lumineux à louer a yoff Onomo,1 500 000 F Cfa,"Yoff,
Dakar","jeudi, 09:44",3 chambre
Appartements d'exception aux Almadies Vue Mer,1 500 000 F Cfa,"Almadies,
Dakar","16. mai, 18:48",
Appartement à louer à keur massar,130 000 F Cfa,"Keur Massar,
Dakar","mercredi, 16:30",2 chambre
Studio moderne à la Sicap Foire,250 000 F Cfa,"Sicap foire,
Dakar","jeudi, 09:07",1 chambre
Appartement haut standing au Point-e,1 500 000 F Cfa,"Point-e,
Dakar","10. juil., 10:14",3 chambre
F5 à louer dans un quartier calme et résidentiel,700 000 F Cfa,"Liberte 6 extension,
Dakar","jeudi, 07:09",4 chambre
Appartement standing à louer à fenêtre mermoz,1 800 000 F Cfa,"Fenêtre mermoz,
Dakar","mercredi, 22:31",3 chambre
F4 moderne vue sur mer sur la corniche,1 500 000 F Cfa,"Fann Hock,
Dakar","mercredi, 17:11",3 chambre
Duplex F4 Corniche Mermoz,2 000 000 F Cfa,"Fenêtre mermoz,
Dakar","mercredi, 15:31",3 chambre
Appartement grand standing à louer,400 000 F Cfa,"Mamelles,
Dakar","mercredi, 12:41",3 chambre
Appartement F3 à ngor extension,300 000 F Cfa,"Ngor,
Dakar","vendredi, 08:47",2 chambre
Appartement à loué,350 000 F Cfa,"Mamelles,
Dakar","9. juil., 09:29",
Appartement neuf à louer fann résidence,2 300 000 F Cfa,"Fann,
Dakar","mercredi, 02:55",3 chambre
Appartements d'exception aux Almadies Vue Mer,1 500 000 F Cfa,"Almadies,
Dakar","16. mai, 18:48",
F5 FOR RENT RESIDENTIAL AND QUIET LIBERTE 6 EXTENTION,650 000 F Cfa,"Liberte 6 extension,
Dakar","Hier, 14:44",4 chambre
Appartement meublé à louer au virage,230 000 F Cfa,"Virage,
Dakar","mardi, 17:43",
F2 à louer à sicap Baobab,325 000 F Cfa,"Sicap baobab,
Dakar","mardi, 16:09",1 chambre
Ouakam- Appartement à louer - Résidence Noella,2 400 000 F Cfa,"Ouakam,
Dakar","mardi, 14:39",2 chambre
F3 A LOUER,400 000 F Cfa,"Cité keur gorgui,
Dakar","mardi, 13:34",2 chambre
F3 A LOUER,260 000 F Cfa,"Ouest foire,
Dakar","mardi, 13:24",2 chambre
Appartement F4 à louer aux Almadies,1 600 000 F Cfa,"Almadies,
Dakar","mardi, 13:07",3 chambre
Appartement à louer Ngor Almadies cité Socabeg,2 000 000 F Cfa,"Yoff,
Dakar","mardi, 13:06",
Appartement F4 aux Almadies,2 300 000 F Cfa,"Almadies,
Dakar","mardi, 13:05",3 chambre
Appartements F4 au virage,850 000 F Cfa,"Virage,
Dakar","mardi, 13:04",3 chambre
Ref_2620_GL F4 avec terrasse de haut standing à Sacré Cœur 1,1 400 000 F Cfa,"Sacré-cœur,
Dakar","mardi, 12:23",3 chambre
Appartement NEUF à Fann Résidence,1 700 000 F Cfa,"Fann,
Dakar","23. mai, 10:43",3 chambre
F5 FOR RENT RESIDENTIAL AND QUIET LIBERTE 6 EXTENTION,650 000 F Cfa,"Liberte 6 extension,
Dakar","Hier, 14:44",4 chambre
Appartement à louer aux Almadies,2 000 000 F Cfa,"Almadies,
Dakar","mardi, 13:26",3 chambre
Duplex à louer sur la corniche des Almadies,1 800 000 F Cfa,"Almadies,
Dakar","mardi, 13:26",
Ref_2653_JN Appartement F4 à cité keur Gorgui,500 000 F Cfa,"Cité keur gorgui,
Dakar","mardi, 10:59",3 chambre
Ref_2652_Sey Appartement à louer à la cité Biagui,500 000 F Cfa,"Cité biagui,
Dakar","mardi, 10:53",2 chambre
Ref__2651_JN Bel Appartement F5 a loué aux Almadies .,1 500 000 F Cfa,"Almadies,
Dakar","mardi, 10:48",4 chambre
Ref_2650_JN Des appartements à louer à Sotrac Mermoz.,800 000 F Cfa,"Mermoz,
Dakar","mardi, 10:35",4 chambre
Ref_2649_Sey Bel Appartements à louer à Ouest Foire.,300 000 F Cfa,"Ouest foire,
Dakar","mardi, 10:32",2 chambre
Almadies - Appartement à louer - LE PONANT,1 900 000 F Cfa,"Almadies,
Dakar","mardi, 10:21",3 chambre
Joli appartement F3 à louer à Ouest foire près de chez Baboy,250 000 F Cfa,"Ouest foire,
Dakar","mardi, 10:21",2 chambre
Appartement à louer à fann Résidence,3 F Cfa,"Fann,
Dakar","mardi, 10:22",3 chambre
Appartement à louer à Ngor Almadies,650 000 F Cfa,"Ngor,
Dakar","5. juil., 12:49",3 chambre
Appartement F4 haut standing dans la cité Mbackiyoufaye,800 000 F Cfa,"Mamelles,
Dakar","lundi, 11:34",3 chambre
Trois chambres à louer par mois,1 300 000 F Cfa,"Almadies,
Dakar","mardi, 09:57",3 chambre
Bel appartement à Nord Foire (derrière la BOA),325 000 F Cfa,"Nord foire,
Dakar","mardi, 09:19",2 chambre
"Appartement neuf à louer aux almadies ,côte king fath palace",4 500 000 F Cfa,"Almadies,
Dakar","mardi, 09:06",
"Appartement neuf à louer aux almadies ,côte king fath palace",2 700 000 F Cfa,"Almadies,
Dakar","mardi, 08:59",
Appartement neuf haut standing à louer aux almadies,1 500 000 F Cfa,"Almadies,
Dakar","mardi, 09:07",
Superbe appartement au rdc f4 avec entrée personnelle,800 000 F Cfa,"Almadies,
Dakar","lundi, 16:36",3 chambre
Appartement F2 à louer à la Sicap Karack,285 000 F Cfa,"Sicap baobab,
Dakar","mardi, 12:47",1 chambre
Appartement meublé aux virage,800 000 F Cfa,"Ngor,
Dakar","lundi, 14:39",2 chambre
Standing duplex à louer à ngor,750 000 F Cfa,"Ngor,
Dakar","lundi, 14:37",5 chambre
Appartement à louer en ville,600 000 F Cfa,"Plateau,
Dakar","lundi, 14:37",2 chambre
Appartements KALIA - Zone de captage,450 000 F Cfa,"Zone de captage,
Dakar","11. juil., 22:19",3 chambre
Appartement à louer - ADJA LOUISE,1 200 000 F Cfa,"Mermoz,
Dakar","lundi, 12:24",3 chambre
Appartement f6 à louer sur la corniche ouakam,3 500 000 F Cfa,"Ouakam,
Dakar","lundi, 13:32",5 chambre
Superbes F3 à Louer aux Almadies,750 000 F Cfa,"Almadies,
Dakar","lundi, 13:12",
Magnifique F4 à Louer sur la Corniche,1 500 000 F Cfa,"Fenêtre mermoz,
Dakar","lundi, 13:10",3 chambre
Magnifique F4 neuf à Louer aux Almadies,400 000 F Cfa,"Almadies,
Dakar","lundi, 12:53",3 chambre
APPARTEMENT A LOUER,400 000 F Cfa,"Sacré-cœur,
Dakar","lundi, 15:06",3 chambre
Apprt Mermoz vue/mer f4 neuf,1 000 000 F Cfa,"Fenêtre mermoz,
Dakar","lundi, 12:27",3 chambre
Appartement à louer,650 000 F Cfa,"Ouakam,
Dakar","lundi, 11:44",4 chambre
Appartement à louer,1 800 000 F Cfa,"Mamelles,
Dakar","lundi, 11:44",3 chambre
Trois chambres à louer par mois,650 000 F Cfa,"Amitié,
Dakar","lundi, 10:04",3 chambre
Deux chambres à louer par mois,500 000 F Cfa,"Almadies,
Dakar","lundi, 10:04",2 chambre
Appartements d'exception aux Almadies Vue Mer,1 500 000 F Cfa,"Almadies,
Dakar","16. mai, 18:48",
Appartement à louer à keur massar,130 000 F Cfa,"Keur Massar,
Dakar","mercredi, 16:30",2 chambre
Duplex à louer a yoff Onomo,2 000 000 F Cfa,"Yoff,
Dakar","lundi, 09:54",5 chambre
F5 moderne à fann résidence,3 000 000 F Cfa,"Fann,
Dakar","lundi, 09:51",4 chambre
Appartement neuf à louer à zac mbao,175 000 F Cfa,"Mbao,
Dakar","lundi, 08:07",2 chambre
Appartement 3 chambres salon neuf (5e étage) aux Almadies,1 300 000 F Cfa,"Almadies,
Dakar","lundi, 06:02",3 chambre
Très bel appartement à louer Mermoz,900 000 F Cfa,"Mermoz,
Dakar","dimanche, 19:27",3 chambre
Appartement meublé a louer a ouakam corniche,800 000 F Cfa,"Ouakam,
Dakar","dimanche, 15:04",3 chambre
BEL APPARTEMENT À LOUER A FANN-MERMOZ,,"Fann,
Dakar","dimanche, 12:44",3 chambre
F3 neuf à louer au point e,800 000 F Cfa,"Point-e,
Dakar","dimanche, 11:23",2 chambre
F5 visible à sacré coeur 3,1 500 000 F Cfa,"Sacré-cœur,
Dakar","samedi, 21:46",4 chambre
A LOUER UN APPT DE 300M2 DE 04 CH SALON,600 000 F Cfa,"Sacré-cœur,
Dakar","vendredi, 10:43",4 chambre
Appartements d'exception aux Almadies Vue Mer,1 500 000 F Cfa,"Almadies,
Dakar","16. mai, 18:48",
Appartement F4 haut standing dans la cité Mbackiyoufaye,800 000 F Cfa,"Mamelles,
Dakar","lundi, 11:34",3 chambre
APPARTEMENTS F4 HAUT STANDING A MERMOZ,1 100 000 F Cfa,"Mermoz,
Dakar","samedi, 14:14",4 chambre
Appartement à louer aux Almadies Philippe moris,750 000 F Cfa,"Almadies,
Dakar","dimanche, 23:23",3 chambre
Joli appartement à Louer à Mermoz,500 000 F Cfa,"Mermoz,
Dakar","13. juil., 11:06",
Penthouse Vue sur Mer à Fann Residence,3 500 000 F Cfa,"Hann maristes,
Dakar","13. juil., 03:29",3 chambre
Appartement F4 yoff virage,1 200 000 F Cfa,"Almadies,
Dakar","12. juil., 20:58",3 chambre
APPARTEMENT A LOUER AUX ALMADIES,1 500 000 F Cfa,"Almadies,
Dakar","12. juil., 20:57",3 chambre
APPARTEMENT F5 AQUANIQUE VIRAGE,1 600 000 F Cfa,"Almadies,
Dakar","12. juil., 20:54",4 chambre
Appartement à louer à keur massar,150 000 F Cfa,"Keur Massar,
Dakar","12. juil., 19:09",
F4 neuf visible au point e,1 300 000 F Cfa,"Point-e,
Dakar","12. juil., 18:11",3 chambre
F4 moderne et neuf au point e,900 000 F Cfa,"Ouakam,
Dakar","12. juil., 17:59",3 chambre
Appartements KALIA - Zone de captage,450 000 F Cfa,"Zone de captage,
Dakar","11. juil., 22:19",3 chambre
APPARTEMENT À LA CITÉ BOURGUIBA,550 000 F Cfa,"Avenue Bourguiba,
Dakar","jeudi, 13:10",2 chambre
STUDIOS A LOUER SICAP FOIRE,250 000 F Cfa,"Sicap foire,
Dakar","12. juil., 17:35",1 chambre
Appartement haut standing vue sur mer,2 700 000 F Cfa,"Mermoz,
Dakar","12. juil., 15:24",3 chambre
Appartement à louer point e,1 700 000 F Cfa,"Point-e,
Dakar","12. juil., 15:18",3 chambre
Somptueux appartement neuf au Mamel,550 000 F Cfa,"Almadies,
Dakar","12. juil., 14:40",3 chambre
appartement f4 de standing almadies,1 200 000 F Cfa,"Almadies,
Dakar","12. juil., 14:13",3 chambre
F4 de standing à louer corniche almadies,1 850 000 F Cfa,"Almadies,
Dakar","12. juil., 14:12",3 chambre
"Duplex F6 avec Piscine à Fann, Avenue Cheikh Anta Diop",1 800 000 F Cfa,"Fann,
Dakar","12. juil., 14:10",4 chambre
Appartement neuf à louer aux mamelle,414 000 F Cfa,"Mamelles,
Dakar","10. juil., 21:27",2 chambre
Apparts et studio à Ouest Foire,225 000 F Cfa,"VDN,
Dakar","12. juil., 13:23",2 chambre
Studio à louer cité assurance dalifort,150 000 F Cfa,"Dalifort,
Dakar","12. juil., 11:41",
NOUVELLE RESIDENCE FANN RESIDENCE,3 000 000 F Cfa,"Fann,
Dakar","2. mai, 13:08",4 chambre
F5 FOR RENT RESIDENTIAL AND QUIET LIBERTE 6 EXTENTION,650 000 F Cfa,"Liberte 6 extension,
Dakar","Hier, 14:44",4 chambre
Appartement 4 chambres corniche fann résidence,3 000 000 F Cfa,"Fann,
Dakar","3. juil., 15:14",4 chambre
Appartement F4 Mermoz sur la route à louer,1 000 000 F Cfa,"Mermoz,
Dakar","12. juil., 07:20",3 chambre
Appartement F4 + chambre de service (250m2) à Fann Résidence,2 850 000 F Cfa,"Fann,
Dakar","12. juil., 04:35",3 chambre
F4 ultra moderne à louer avec les meubles,1 500 000 F Cfa,"Liberte 6 extension,
Dakar","11. juil., 23:36",3 chambre
Appartement vue mer F4 à louer virage,1 500 000 F Cfa,"Yoff,
Dakar","11. juil., 22:11",3 chambre
appartement f4 à louer fann hock,1 200 000 F Cfa,"Fann Hock,
Dakar","11. juil., 17:13",
appartement f5 vue mere à louer fann,2 200 000 F Cfa,"Fann Hock,
Dakar","11. juil., 17:12",
appartement f4 neuf vue mer à fann,2 000 000 F Cfa,"Fann Hock,
Dakar","11. juil., 17:12",
Appartement F4 à louer à la Sicap Karack,621 600 F Cfa,"Sicap baobab,
Dakar","mardi, 12:53",3 chambre
APPARTEMENT GRAND STANDING VUE SUR MER AUX ALMADIESS,3 000 000 F Cfa,"Almadies,
Dakar","11. juil., 16:17",4 chambre
Appartement NEUF à Fann Résidence,1 700 000 F Cfa,"Fann,
Dakar","23. mai, 10:43",3 chambre
Appartement à louer - ADJA LOUISE,1 200 000 F Cfa,"Mermoz,
Dakar","lundi, 12:24",3 chambre
Appartement grand standing a Dakar Plateau,2 500 000 F Cfa,"Plateau,
Dakar","11. juil., 16:39",4 chambre
Penthous à louer aux Almadie méridienne,3 500 000 F Cfa,"Almadies,
Dakar","11. juil., 14:16",5 chambre
Studio au 2é étage à louer aux Maristes,170 000 F Cfa,"Hann maristes,
Dakar","11. juil., 13:23",1 chambre
"Appartement F4, 3 chambres salon à louer à Nord foire",300 000 F Cfa,"Nord foire,
Dakar","11. juil., 13:09",3 chambre
Mermoz derrière Auchan F5 à louer,700 000 F Cfa,"Mermoz,
Dakar","11. juil., 12:59",
Appart cité keur Damél F3,250 000 F Cfa,"Yoff,
Dakar","11. juil., 12:51",2 chambre
Appartement à louer - Fann Résidence Océan Drive,2 000 000 F Cfa,"Fann,
Dakar","11. juil., 12:43",3 chambre
Appartement de type F4 à louer,700 000 F Cfa,"Mermoz,
Dakar","11. juil., 11:53",3 chambre
Appartement pour bureau à louer sur la VDN.,350 000 F Cfa,"VDN,
Dakar","11. juil., 11:54",2 chambre
Appartement à louer en centre-ville,2 500 000 F Cfa,"Plateau,
Dakar","11. juil., 11:55",5 chambre
Appartement à louer à la sortie 10 de l'autoroute,250 000 F Cfa,"Rufisque,
Dakar","28. juin, 18:44",3 chambre
Appartement à louer à keur massar,130 000 F Cfa,"Keur Massar,
Dakar","mercredi, 16:30",2 chambre
APPARTEMENT F4 NEUF À LOUER À NGOR ALMADIES,518 000 F Cfa,"Almadies,
Dakar","10. juil., 19:22",3 chambre
Studio à louer à proximité de la VDN.,400 000 F Cfa,"VDN,
Dakar","11. juil., 12:00",1 chambre
Appartements à louer à proximité de la VDN.,1 250 000 F Cfa,"VDN,
Dakar","11. juil., 12:04",3 chambre
Grand appartement F5 à louer sur la corniche des Almadies,2 200 000 F Cfa,"Ngor,
Dakar","10. juil., 16:55",4 chambre
Appartement à louer à Mermoz,1 864 800 F Cfa,"Mermoz,
Dakar","11. juil., 12:05",3 chambre
Appartement de type F4 à louer à la zone de recasement,650 000 F Cfa,"Ngor,
Dakar","10. juil., 15:46",3 chambre
Appartement de standing sur la route du Meridien,1 850 000 F Cfa,"Almadies,
Dakar","10. juil., 15:34",3 chambre
Appartements de haut standing neufs à louer,1 600 000 F Cfa,"Virage,
Dakar","10. juil., 15:34",3 chambre
Appartement Almadies corniche,1 250 000 F Cfa,"Almadies,
Dakar","10. juil., 15:33",3 chambre
Duplex de standing à louer,1 500 000 F Cfa,"Cité keur gorgui,
Dakar","10. juil., 15:19",42 chambre
Appartement NEUF à Fann Résidence,1 700 000 F Cfa,"Fann,
Dakar","23. mai, 10:43",3 chambre
F5 FOR RENT RESIDENTIAL AND QUIET LIBERTE 6 EXTENTION,650 000 F Cfa,"Liberte 6 extension,
Dakar","Hier, 14:44",4 chambre
APPARTEMENT DUPLEX ENTIÈREMENT MEUBLÉ À LOUER MERMOZ,2 000 000 F Cfa,"Point-e,
Dakar","10. juil., 14:02",2 chambre
Studio à louer,250 000 F Cfa,"Sicap foire,
Dakar","10. juil., 12:52",1 chambre
Appartement vue sur mer aux virages,2 000 000 F Cfa,"Virage,
Dakar","10. juil., 11:42",4 chambre
Appartement f3 à louer point E,1 F Cfa,"Point-e,
Dakar","10. juil., 09:18",
F4 À LOUER,350 000 F Cfa,"Liberte 6,
Dakar","9. juil., 19:14",3 chambre
Appartement à louer aux Almadies - West Secret,1 450 000 F Cfa,"Almadies,
Dakar","9. juil., 16:35",3 chambre
Appartement à louer au Point E,850 000 F Cfa,"Point-e,
Dakar","9. juil., 16:31",3 chambre
Appartement F3 waterfront,2 500 000 F Cfa,"Mermoz,
Dakar","10. juil., 12:56",2 chambre
Appartement f4,350 000 F Cfa,"Sacré-cœur,
Dakar","10. juil., 12:56",3 chambre
Appartement f4 à louer aux alamdies,1 000 000 F Cfa,"Amitié,
Dakar","9. juil., 15:41",3 chambre
Appartement à louer à la sortie 10 de l'autoroute,250 000 F Cfa,"Rufisque,
Dakar","28. juin, 18:44",3 chambre
F5 FOR RENT RESIDENTIAL AND QUIET LIBERTE 6 EXTENTION,650 000 F Cfa,"Liberte 6 extension,
Dakar","Hier, 14:44",4 chambre
3 chambres waterfront Duplex,2 000 000 F Cfa,"Mermoz,
Dakar","9. juil., 14:43",
Grand appartement à Fann résidence,2 600 000 F Cfa,"Fann,
Dakar","9. juil., 14:48",5 chambre
Bel appartement vue mer à Fann résidence,2 500 000 F Cfa,"Fann,
Dakar","9. juil., 14:26",3 chambre
Spacieux appartement f3 sis aux almadies,700 000 F Cfa,"Almadies,
Dakar","9. juil., 13:48",2 chambre
Appartements F3 à louer,450 000 F Cfa,"Mamelles,
Dakar","10. juil., 09:33",2 chambre
Appartement F5 à louer aux Almadies,2 900 000 F Cfa,"Almadies,
Dakar","9. juil., 12:47",3 chambre
Appartement f3 à liberté 6,400 000 F Cfa,"Liberte 6,
Dakar","9. juil., 12:46",2 chambre
Appartement F4à louer aux Almadies,2 400 000 F Cfa,"Almadies,
Dakar","9. juil., 12:12",3 chambre
F3 A LOUER,200 000 F Cfa,"Ouest foire,
Dakar","9. juil., 11:34",2 chambre
Superbe F5 à Louer au Virage,800 000 F Cfa,"Virage,
Dakar","9. juil., 11:06",4 chambre
NOUVELLE RESIDENCE FANN RESIDENCE,3 000 000 F Cfa,"Fann,
Dakar","2. mai, 13:08",4 chambre
Appartement F4 haut standing dans la cité Mbackiyoufaye,800 000 F Cfa,"Mamelles,
Dakar","lundi, 11:34",3 chambre
TRIPLEX À LOUER,500 000 F Cfa,"Sangalkam,
Dakar","lundi, 15:59",4 chambre
Appartement F4 aux Mamelles,450 000 F Cfa,"Mamelles,
Dakar","9. juil., 10:46",3 chambre
Appartement à louer centre ville,1 400 000 F Cfa,"Plateau,
Dakar","9. juil., 17:46",3 chambre
Appartement à Ngor Almadies (derrière cosmetika),500 000 F Cfa,"Ngor,
Dakar","9. juil., 12:23",3 chambre
Duplex F4 à louer fann résidence,2 600 000 F Cfa,"Fann,
Dakar","2. mai, 22:02",3 chambre
Appartement F2 à louer Mamelles,250 000 F Cfa,"Mamelles,
Dakar","9. juil., 08:07",2 chambre
Spacieux 2 chambres sur mermoz,500 000 F Cfa,"Mermoz,
Dakar","8. juil., 23:30",
Appartement à louer sacré coeur,330 000 F Cfa,"Sacré-cœur,
Dakar","8. juil., 18:52",3 chambre
Appartement F4 à louer à sacré cœur 3,400 000 F Cfa,"Sacré-cœur,
Dakar","8. juil., 18:32",3 chambre
Appartement f4 en location de haut standing,850 000 F Cfa,"Cité keur gorgui,
Dakar","8. juil., 16:42",3 chambre
Appartement NEUF à Fann Résidence,1 700 000 F Cfa,"Fann,
Dakar","23. mai, 10:43",3 chambre
Appartement à louer à keur massar,130 000 F Cfa,"Keur Massar,
Dakar","mercredi, 16:30",2 chambre
Appartement en Location longue durée aux Almadies,,"Almadies,
Dakar","8. juil., 15:39",4 chambre
Appartement 2 chbres proche lycée Mermoz,400 000 F Cfa,"Ouakam,
Dakar","8. juil., 13:49",2 chambre
Appartement en Duplex à louer aux Almadies,4 000 000 F Cfa,"Almadies,
Dakar","8. juil., 13:19",4 chambre
Appartement à louer à Fenêtre Mermoz,2 200 000 F Cfa,"Mermoz,
Dakar","8. juil., 13:19",4 chambre
Appartement à louer à Sacrée Coeur 3,1 F Cfa,"Sacré-cœur,
Dakar","8. juil., 12:34",
Bel appartement à la Sicap Foire,400 000 F Cfa,"Sicap foire,
Dakar","8. juil., 12:13",3 chambre
Appartement Moderne aux Almadies,500 000 F Cfa,"Almadies,
Dakar","8. juil., 12:12",3 chambre
Bel appartement à louer à Ngor,800 000 F Cfa,"Ngor,
Dakar","8. juil., 11:35",2 chambre
Luxueux appartement Rooftop avec piscine et vue panoramique,200 000 F Cfa,"Ngor,
Dakar","9. juil., 15:22",3 chambre
Beau duplex rénové à Mermoz,1 200 000 F Cfa,"Mermoz,
Dakar","8. juil., 10:42",3 chambre
NOUVELLE RESIDENCE FANN RESIDENCE,3 000 000 F Cfa,"Fann,
Dakar","2. mai, 13:08",4 chambre
Appartement F4 haut standing dans la cité Mbackiyoufaye,800 000 F Cfa,"Mamelles,
Dakar","lundi, 11:34",3 chambre
Superbe appartement en bord de mer à Mermoz,3 000 000 F Cfa,"Fenêtre mermoz,
Dakar","8. juil., 10:42",3 chambre
Deux chambres à louer par mois,550 000 F Cfa,"VDN,
Dakar","8. juil., 10:22",2 chambre
appartement F4 à louer,1 800 000 F Cfa,"Fenêtre mermoz,
Dakar","8. juil., 08:57",3 chambre
Appartement à louer à mermoz,1 000 000 F Cfa,"Mermoz,
Dakar","7. juil., 22:22",3 chambre
Appartement meublé à louer centre ville,1 400 000 F Cfa,"Plateau,
Dakar","7. juil., 22:20",2 chambre
Apartement fenêtre Mermoz,2 000 000 F Cfa,"Fenêtre mermoz,
Dakar","7. juil., 22:13",3 chambre
Appartement à louer à la Cité keur gorgui,500 000 F Cfa,"Cité keur gorgui,
Dakar","7. juil., 19:15",2 chambre
Studio neuf a louer a Golf,160 000 F Cfa,"Golf,
Dakar","7. juil., 16:48",1 chambre
Penthouse avec une grande terasse,1 500 000 F Cfa,"Cité keur gorgui,
Dakar","12. juil., 21:17",3 chambre
Appartement lumineux de type F5 à louer au Point E,1 500 000 F Cfa,"Point-e,
Dakar","10. mai, 14:24",3 chambre
NOUVELLE RESIDENCE FANN RESIDENCE,3 000 000 F Cfa,"Fann,
Dakar","2. mai, 13:08",4 chambre
F5 FOR RENT RESIDENTIAL AND QUIET LIBERTE 6 EXTENTION,650 000 F Cfa,"Liberte 6 extension,
Dakar","Hier, 14:44",4 chambre
Superbe appartement vue sur mer au Virage,2 300 000 F Cfa,"Virage,
Dakar","9. juin, 16:36",3 chambre
Appartement F4 haut standing 2e étage,750 000 F Cfa,"Bel air,
Dakar","6. juil., 22:28",3 chambre
Penthouse à louer Almadies route de méridienne,4 200 000 F Cfa,"Almadies,
Dakar","7. juil., 10:14",4 chambre
Appartement F4 à louer au point E,900 000 F Cfa,"Point-e,
Dakar","6. juil., 16:59",3 chambre
APPARTEMENT A LOUER CORNICHE DES ALMADIES,2 000 000 F Cfa,"Almadies,
Dakar","6. juil., 12:57",2 chambre
Superbe appartement à Fann mermoz,2 300 000 F Cfa,"Fann,
Dakar","6. juil., 12:46",3 chambre
Superbe appartement au Plateau,2 000 000 F Cfa,"Plateau,
Dakar","11. juil., 19:50",3 chambre
Appartement F4 à louer au point E,1 200 000 F Cfa,"Point-e,
Dakar","6. juil., 11:11",3 chambre
Appartements à louer aux mamelles,900 000 F Cfa,"Mamelles,
Dakar","6. juil., 11:10",3 chambre
Appartement à louer aux Almadies,900 000 F Cfa,"Almadies,
Dakar","16. mai, 08:57",3 chambre
Appartement NEUF à Fann Résidence,1 700 000 F Cfa,"Fann,
Dakar","23. mai, 10:43",3 chambre
Appartement à louer à keur massar,130 000 F Cfa,"Keur Massar,
Dakar","mercredi, 16:30",2 chambre
Studio F2 à louer liberté 2 en face Dakar sacré cœur,200 000 F Cfa,"Liberte 2,
Dakar","samedi, 20:22",1 chambre
Appartement à louer aux Almadie route méridienne,2 300 000 F Cfa,"Almadies,
Dakar","6. juil., 15:06",3 chambre
F3 à louer à la rue 23×24 Médina,300 000 F Cfa,"Médina,
Dakar","5. juil., 18:18",2 chambre
Magnifique duplex dans une résidence sécurisée,800 000 F Cfa,"Virage,
Dakar","5. juil., 18:17",4 chambre
PENTHOUSE A LOUER AUX ALMADIES,2 000 000 F Cfa,"Almadies,
Dakar","5. juil., 18:17",4 chambre
f4 de standing sur la route du meridien,1 500 000 F Cfa,"Almadies,
Dakar","5. juil., 18:16",3 chambre
PENHOUSE AVEC PISCINE PRIVÉE,3 000 000 F Cfa,"Almadies,
Dakar","5. juil., 18:15",3 chambre
Appartement à louer à Fann résidence sur la corniche,3 300 000 F Cfa,"Fann,
Dakar","5. juil., 17:55",4 chambre
appartement 4 chambres salon à mermoz,2 000 000 F Cfa,"Mermoz,
Dakar","5. juil., 17:41",4 chambre
Joli Appartement F3 à Mariste 2 très accessible,250 000 F Cfa,"Hann maristes,
Dakar","5. juil., 13:26",2 chambre
Appartement à louer à la sortie 10 de l'autoroute,250 000 F Cfa,"Rufisque,
Dakar","28. juin, 18:44",3 chambre
F5 FOR RENT RESIDENTIAL AND QUIET LIBERTE 6 EXTENTION,650 000 F Cfa,"Liberte 6 extension,
Dakar","Hier, 14:44",4 chambre
Bureaux à louer vdn,375 000 F Cfa,"VDN,
Dakar","5. juil., 13:00",2 chambre
Spacieux appartement de 4 chambres aux almadies,1 200 000 F Cfa,"Almadies,
Dakar","Hier, 18:14",4 chambre
Ref_2644_SEY Très beaux appartements à louer à Sacré-Cœur 1.,850 000 F Cfa,"Sacré-cœur,
Dakar","5. juil., 10:02",3 chambre
Appartement neuf à louer Aux Almadies,1 300 000 F Cfa,"Liberte 6 extension,
Dakar","5. juil., 08:18",2 chambre
Chic appartement à louer,400 000 F Cfa,"Almadies,
Dakar","5. juil., 10:35",2 chambre
Appartement f3 à louer à cité keur gorgui,400 000 F Cfa,"Cité keur gorgui,
Dakar","4. juil., 17:12",2 chambre
Appartement cité Africa prés de jean Mermoz,2 200 000 F Cfa,"Ouakam,
Dakar","4. juil., 17:05",3 chambre
Studio à ouest foire,200 000 F Cfa,"Ouest foire,
Dakar","4. juil., 16:04",
Appartement F4 à louer au centre ville,2 000 000 F Cfa,"Plateau,
Dakar","4. juil., 15:43",3 chambre
Appartement F5 Vue sur Mer à la corniche,3 000 000 F Cfa,"Fenêtre mermoz,
Dakar","4. juil., 15:28",4 chambre
